amenity,lat,lon,name,tags,timestamp,address,city
drinking_water,49.016391,-122.7903544,,{},2020-01-01T16:27:29.000-08:00,"{'tourism': 'Grizlee', 'road': 'The Promenade', 'neighbourhood': 'Five Corners', 'suburb': 'East Beach', 'town': 'White Rock', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 1P9', 'country': 'Canada', 'country_code': 'ca'}",Null
drinking_water,49.1855431,-122.7577047,,{},2016-04-26T18:28:21.000-07:00,"{'road': 'Tynehead Greenway', 'city_district': 'Guildford', 'city': 'Surrey', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4N 1Z4', 'country': 'Canada', 'country_code': 'ca'}",Surrey
drinking_water,49.2745399,-123.1255524,,{},2019-07-19T21:31:42.000-07:00,"{'building': 'Pacific Point', 'road': 'Drake Street', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6B 1B7', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.0333342,-122.00832920000002,,{},2010-05-20T01:31:09.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0328426,-122.0105511,,{},2010-05-20T01:31:13.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0335381,-122.0062716,,{},2010-05-20T01:31:10.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.008182700000006,-123.1301898,,{'indoor': 'yes'},2019-02-04T00:35:50.000-08:00,"{'shop': 'Tsawwassen Quay Market', 'road': 'Ferry Causeway', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4M 2P3', 'country': 'Canada', 'country_code': 'ca'}",Delta
drinking_water,49.020868,-122.8055273,,{},2015-06-22T10:23:03.000-07:00,"{'man_made': 'White Rock Pier', 'road': 'The Promenade', 'neighbourhood': 'Five Corners', 'suburb': 'East Beach', 'town': 'White Rock', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4B 1P9', 'country': 'Canada', 'country_code': 'ca'}",Null
drinking_water,49.2298099,-123.0987406,,{},2018-02-05T01:15:20.000-08:00,"{'road': 'East 44th Avenue', 'neighbourhood': 'South Hill', 'city_district': 'Sunset', 'city': 'Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5W', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2784434,-122.9754707,,{},2018-04-08T02:20:43.000-07:00,"{'amenity': 'Burnaby North Secondary School', 'road': 'Trans Canada Trail', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5B 1R8', 'country': 'Canada', 'country_code': 'ca'}",Burnaby
drinking_water,49.19876110000001,-123.1810148,,{},2017-02-02T08:13:12.000-08:00,"{'aeroway': 'Vancouver International Airport', 'road': 'Templeton Street', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 1C7', 'country': 'Canada', 'country_code': 'ca'}",Richmond
drinking_water,49.2622988,-123.1146236,,{},2014-07-26T03:13:42.000-07:00,"{'tourism': 'Walking Figures – Cambie at Broadway', 'road': '10th Avenue Bikeway', 'city_district': 'Mount Pleasant', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5Y 1R4', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2816563,-123.03435259999998,,{},2015-07-14T23:00:02.000-07:00,"{'leisure': 'Pacific Adventure Golf', 'road': 'East Hastings Street', 'neighbourhood': 'Hastings-Sunrise', 'city_district': 'Hastings-Sunrise', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5K', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2829071,-123.03450259999998,,{},2015-07-09T10:26:26.000-07:00,"{'leisure': 'rope pyramid', 'road': 'Miller Drive', 'city_district': 'Hastings-Sunrise', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5K', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
