lat,lon
49.28035833333333,-122.92016035551205
49.280035998877665,-122.92052659956971
49.279713664422,-122.92087987752166
49.27939132996633,-122.92122018983355
49.27906899551066,-122.9215475365636
49.278746661054996,-122.92186191806104
49.27842432659933,-122.92216333461693
49.27810199214366,-122.92245178634766
49.277779657687994,-122.92272727371892
49.27745732323232,-122.9229897968471
49.27713498877665,-122.92323935596505
49.276812654320985,-122.9234759513638
49.27649031986532,-122.92369958333438
49.27616798540965,-122.92391025210964
49.27584565095398,-122.92410795786418
49.275523316498315,-122.92429270094726
49.27520098204265,-122.92446448164992
49.27487864758698,-122.92462330003036
49.27455631313131,-122.92476915655425
49.274233978675646,-122.9249020513962
49.27391164421998,-122.92502198473085
49.27358930976431,-122.92512895696564
49.273266975308644,-122.9252229682752
49.27294464085298,-122.92530401895056
49.27262230639731,-122.92537210904993
49.272299971941635,-122.92542723909719
49.27197763748597,-122.92546940932516
49.2716553030303,-122.92549861973384
49.27133296857463,-122.92551487084711
49.271010634118966,-122.92551816278137
49.2706882996633,-122.92550849582767
49.27036596520763,-122.92548587021884
49.270043630751964,-122.9254502862459
49.2697212962963,-122.92540174414171
49.26939896184063,-122.92534024413908
49.26907662738496,-122.92526578652905
49.268754292929295,-122.92517837154446
49.26843195847363,-122.92507799947634
49.26810962401796,-122.92496467044111
49.26778728956229,-122.92483838490443
49.267464955106625,-122.92469914298272
49.26714262065096,-122.9245469449088
49.26682028619528,-122.92438179109013
49.266497951739616,-122.92420368158491
49.26617561728395,-122.9240126167424
49.26585328282828,-122.92380859691184
49.265530948372614,-122.92359162220964
49.26520861391695,-122.92336169281043
49.26488627946128,-122.92311880923808
49.26456394500561,-122.92286297155079
49.264241610549945,-122.92259417998139
49.26391927609428,-122.92231243493734
49.26359694163861,-122.92201773647685
49.26327460718294,-122.92171008500736
49.262952272727276,-122.92138948081993
49.26262993827161,-122.92105592403095
49.26230760381594,-122.92070941493148
49.261985269360274,-122.92034995381255
49.2616629349046,-122.91997754090698
49.26134060044893,-122.91959217644762
49.261018265993265,-122.91919386066729
49.2606959315376,-122.91878259397345
49.26037359708193,-122.9183583764825
49.26005126262626,-122.91792120842729
49.259728928170595,-122.91747109004064
49.25940659371493,-122.91700802173
49.25908425925926,-122.91653200372821
49.25876192480359,-122.91604303609347
49.258439590347926,-122.91554111934965
49.25811725589226,-122.91502625349676
49.25779492143659,-122.91449843900045
49.257472586980924,-122.91395767591894
49.25715025252526,-122.91340396465966
49.25682791806959,-122.91283730539726
49.25650558361392,-122.91225769842276
49.25618324915825,-122.911665143969
49.25586091470258,-122.91105964226881
49.25553858024691,-122.91044119361322
49.255216245791246,-122.90980979829328
49.25489391133558,-122.9091654564836
49.25457157687991,-122.90850816847524
49.254249242424244,-122.907837934501
49.25392690796858,-122.90715475491015
49.25360457351291,-122.9064586298191
49.25328223905724,-122.90574955951888
49.252959904601575,-122.90502754435875
49.25263757014591,-122.9042925844551
49.25231523569024,-122.90354468015721
49.25199290123457,-122.90278383163968
49.251670566778905,-122.90201003925176
49.25134823232324,-122.90122330322629
49.251025897867564,-122.90042362373788
49.250703563411896,-122.89961100113578
49.25038122895623,-122.89878543553641
49.25005889450056,-122.89794692740543
49.249736560044894,-122.89709547680104
49.24941422558923,-122.8962310840725
49.24909189113356,-122.89535374951083
49.24876955667789,-122.89446347323246
